	gene	pops
0	ATP1	P2F11;P3D03
1	IRA1	P2F11;P1C05;P3D09;P1C06;P1C06;P3B10;P1C08;P3F05;P3D11;P2B11;P2E06;P3D05;P1F11;P1F05;P2F07
2	PCA1	P2F11;P1B04
3	MTC5	P2F11;P2B04;P2B07;P3D05;P3G10;P2C05;P2D06;P2B08
4	BFR2	P2F11;P1C04
5	YCG1	P2F11;P3G06;P3D03
6	ARO80	P2F11;P2F02;P2F02;P2E06;P2C05;P3F09
7	SLM1	P2F11;P2F11;P2C10;P3F05;P2B11;P3D05;P1C04
8	UBC8	P2F11
9	FAR7	P2F11;P3D02
