plate_well	genehits_fixed_10K
P1B02	RTG3;NUP170;YBR144C;EHT1;TDP1;YBR224W;PHO89;PWP2;AAD3;GUD1;WHI4;ACK1;PCL2;YDL124W;SNA4;BRE1;SYO1;VTC5;TRS85;ALT2;SAC3;SEC5;SEC7;MSC2;CDS_IV_871902_873218;CDS_IV_871902_873194;PRP42;SUM1;TRR1;YDR445C;GIN4;CDS_IX_19847_21220;RRD1;NUP159;ARC15;SQT1;YEL075C;YEL050W-A;RML2;RAD23;IRC22;SEC3;RPN3;HIS1;FCY22;UBP9;ALR2;RPO41;YFR036W-A;RSC8;HXK2;HFM1;CSE1;ADE5,7;EMP24;YGL176C;SPO74;THG1;ADE6;NUP57;ASN2;CBF2;MIC26;MGA1;YHR070C-A;SPL2;MTC6;GPI16;VPS35;NCA3;CPA2;RSF2;HYM1;COY1;NNR2;CWP1;YKL050C;MAE1;DYN1;MLP1;VBA5;HSP104;BPT1;MNL2;SMC4;GAA1;RKM5;THI7;ATP14;STT4;YLR322W;STE11;SMC6;BDF1;LEU3;YLR454W;ITT1;SPC2;CDC5;NAT4;YMR099C;ALD3;GCV2;EFR3;BCH1;RKR1;PRE5;NAR1;GCR2;FKH2;YNL034W;ARE2;AGA1;BIO4;YNR065C;YOL075C;YOL037C;YOL036W;HMS1;CUE5;ASE1;VPS17;ATG40;STE4;GCD1;YPK9;FDH1;YAR1;PDR12;TAF3;MSF1
P1B03	AAD3;TRR1;RPN3;HIS1;RPO41;ADE6;MAE1;LEU3;ARE2;FUN30;BUD14;IMD1;MRPL16;MEC1;NPL4;ERV15;CHA1;RNQ1;PAT1;OCA4;SAS10;RPO21;MRX16;YDR183C-A;MTH1;MRPL35;SHQ1;GTA1;GTT3;ICL1;MET6;GLE2;RTR1;YER158C;ECM32;GCN1;IME4;HSF1;YGL072C;CAF130;MVB12;ERC1;KSP1;DMA1;PRM10;SRS2;DAN4;RCI50;SHE2;SMY1;CDC16;UTH1;PTR2;OSW2;YLR339C;RPP0;NBP1;YLR458W;MOT3;CAT8;YNL338W;BNI4;RTT106;NIS1;AQR1;SLM2;BDP1;BIO5;TLG2;INP53;ISW2;MSC6;MRS6;COG4;ASN1
P1B04	NUP170;TRS85;TRR1;IRC22;SEC3;ADE6;MAE1;MLP1;HSP104;YNR065C;YOL075C;ATG40;STE4;PDR12;COG4;FLO9;GPB2;CCR4;SWH1;PET9;YBR056W;VPS15;SHE3;CNS1;KTR4;DUR1,2;RGD1;TSC10;PCA1;IMG1;GDH2;CDC48;RRP42;RPN6;VPS41;DOP1;MKC7;SLY1;ADR1;YDR239C;YDR248C;SWM1;GCN2;CFT1;TFB1;PHO92;TOM1;PAC11;PUF6;SAM2;CSS1;YIL055C;NOT3;AFG3;HMF1;BOI2;BRR2;YFR035C;CDC55;YGL138C;SCS3;SNF4;RMD9;RPL7A;YGL024W;PIB2;KAP122;YGR053C;SHY1;YGR125W;YGR190C;ADE3;CIR1;CCH1;PHO81;YHB1;YGR266W;MAL11;SPO11;ERG11;MYO1;SSF1;SBE22;TOM71;ATP12;YJL150W;SFH5;NET1;IRC8;YJL045W;MHP1;BET4;YJR015W;ISY1;YJR154W;PAU16;FAS1;PRR1;HAP4;PRP40;SIS2;ESL2;AYT1;SFI1;UBR2;MLO50;RAX2;KIN2;ICT1;REA1;RRN5;YLR162W-A;FKS1;MDM30;UTP21;TDA9;TCB3;YOX1;SAM37;YPK2;MRPS8;RNH1;DSS1;FIG4;BXI1;SIP3;FOL1;YNL190W;UBP10;APC1;YCK2;DOM34;POP2;PSF3;CRT10;PEX15;AUS1;RTS1;AHC1;STI1;YOR093C;DPI34;DED1;MKK1;DGK1;ALA1;MNE1;TFB6;HUT1;GUP2;NOP4;TFC8;CMR3;MRD1;SPN1;QCR2
P1B07	SAC3;ADE6;HSP104;SFI1;TEL1;BUD3;SED4;COP1;OMS1;SER33;DSN1;DSF1;BEM2;NIC96;KEG1;DSD1;CUP2;YGL165C;ENV11;PIH1;UBP12;MNS1;SMF3;CCW12;YLR126C;BOP2;VAC14;NUP188;MYO5;ECM16;ADE4;MON2;DSL1;CBK1;HHF2;PHO80;SLK19;YOR293C-A;VIK1;MMT2;GIP3;MRP2;OPT2
P1B11	ADE5,7;MAE1;YNL338W;BIO5;DOP1;IRC8;TFC8;MRD1;BUD3;SMF3;BOL3;SSA3;SEF1;KAP104;EDS1;PCH2;YBP1;REI1;SRF1;YDL109C;GCV1;STE5;SUP35;SWA2;YSP2;YDR341C;GUT2;ASG1;SPO73;GDI1;MIL1;FAB1;MES1;YHL045W;DOG2;RIX1;GCD14;CYR1;XYL2;YML084W;HMG1;ILV2;ATM1;BNI1;YNL198C;PHO23;CSE2;ARG1;UBP2;PDR5;ATF1;YOR389W;YTA6;CIT3
P1C02	TRR1;NUP159;ADE5,7;LEU3;EFR3;ARE2;MEC1;MET6;HSF1;CDC16;PTR2;ISW2;CCR4;BOI2;PIB2;KAP122;ADE3;MHP1;FAS1;ESL2;SAM37;APC1;UBP12;SSA3;BNI1;ECM21;UBP13;YEL1;APL3;PEP1;HMT1;FIG1;ATG12;YBR225W;BIK1;DCC1;SNT1;GLE1;GGC1;YDL196W;VMA1;DLD2;MHF2;STE7;LDB17;YDL022C-A;ARX1;SWI5;NUM1;PIB1;UBX5;YPS7;MRP20;TRS120;CYM1;DIG2;UBP7;NDC80;AXL2;HXT13;LCP5;GRX4;OSW7;RTF1;CHC1;MPT5;XRN1;SUT1;PEX14;YGL152C;YGL140C;NAB2;YGL114W;RSC1;RTS3;YGR161W-C;TRX2;CAB4;CWC22;YOR1;BIO2;ARN1;SLT2;MEF2;SAP185;MNN14;BUD4;YKT6;PIR3;CTK1;PUT3;YLL058W;YBT1;FRS1;ACE2;ACF2;SWI6;SKG3;FAR10;ARC18;SKI2;DAT1;FPR3;TEM1;HUG1;YML037C;SRC1;PSP2;YML003W;PEX9;MCM1;YMR103C;YMR206W;DYN3;KRI1;TOF1;POL2;RTC4;YNL234W;SWT21;YNL165W;KRE33;AVT4;LAT1;CRZ1;MSB4;YOL057W;YOL014W;SIA1;GPN2;YOR283W;RPA190;YPL272C;GYP5;ATG29;SPO19;SUV3;VTC3;SEC8;ANT1;GDB1;RPO26
P1C04	SUM1;TRR1;NUP159;MAE1;HSP104;BCH1;YNL034W;ARE2;SRS2;UTH1;MKC7;CSS1;YGR266W;MHP1;FAS1;UBR2;APC1;PEX15;UBP12;GDI1;BIK1;PUT3;RPA190;MYO4;FRT2;DRS2;EDE1;SHE1;FUR4;DTR1;PRP5;YBR284W;LRE1;CDC39;YDL199C;SEC31;RPP1B;UBP1;TMA64;CDS_IV_720860_721270;YCF1;SCC2;EBS1;CDS_IV_981252_982544;AKR1;HRQ1;SSD1;BFR2;EAF1;PDR15;ADE8;SSN2;VPS3;SPS2;ESL1;SLM1;FYV10;YIL025C;FAF1;VID28;HAT2;NOP16;SER3;KAP123;SPT2;FRS2;YFH7;YFR032C;USE1;LIF1;TWF1;PPT1;PHB1;ENP2;PBP1;TYS1;HIP1;YGR283C;PAU12;ECM29;AAP1;OSH3;BZZ1;RPN10;LAA1;YJL195C;IDS2;URA2;BCK1;DPB11;RTT101;STE18;RPL43B;DAL5;MIA40;RPT1;MBR1;URB1;YKR078W;RGR1;BOS1;HSP60;YLR278C;ATG39;MMS22;VIP1;YLR412C-A;YLR426W;RIF2;YML099W-A;ARG81;RPM2;PIF1;YAP1;CDS_XIII_357395_361357;KAR5;ADH3;HFD1;GAD1;YME2;TGL3;ZWF1;WHI3;TDA7;FAR11;DBP2;LAP2;SWM2;PRP2;SNF12;ENB1;SHR5;YOL019W;TFC7;RIO1;ARP8;GEP3;WTM2;YOR268C;FRT1;PDE2;GPB1;RPL36B;YPL250W-A;YPL247C;TRE1;MRX4;REV3;COX11;MOT1;SSN3;PMA2;SYT1;YPR117W;YPR157W;DPB2;PRP4
P1C05	TRR1;ADE6;MTC6;MAE1;HSP104;STE4;SRS2;PTR2;GPB2;SAM2;YIL055C;REA1;STE5;YOR1;SKG3;YDL199C;HIP1;ATG39;VIP1;PIF1;AIM2;CDC24;NTG1;YAR035C-A;FLO1;CDC27;ILS1;RPS8A;UTP20;YBR053C;CYC8;ATG42;IRA1;TBS1;SWC5;HEM3;MGT1;BDF2;GPM2;YAP6;MSN5;SIZ1;YDR524C-B;YDR541C;BMH1;EPL1;ROG3;COX18;CHO2;GTR2;YTA7;VMA10;LAM1;INO1;YJL016W;NNK1;CSE4;SET3;SPA2;PUF3;SHM2;BMT6;COA4;UTP13;IFH1;AFG2;TRS130;MRE11;SKO1;SRV2;MLS1;LEU4;NOP8;YOL134C;HRT1;RSB1;HNT3;MUM3;IQG1;YPL216W;YPL150W;EAF3;NVJ2;YPR097W;CTF4
P1C06	TDP1;SPL2;NCA3;LEU3;RKR1;YNL034W;ARE2;RPO21;YNL338W;FLO9;ADE3;MLO50;KIN2;DSS1;DGK1;ADE4;MMT2;EDS1;YBP1;PHO23;PDR5;MNN14;CRZ1;ESL1;SPT2;PBP1;HIP1;RIO1;ARP8;YPL250W-A;MOT1;IRA1;GCV3;ETR1;NRG2;TOS1;ARC40;YBR259W;BUD23;CTR86;SSB1;ASF2;SNF3;DLD1;RXT3;CDC7;VMS1;YDR136C;DPP1;SWR1;RPT3;GPI17;UTP6;BNR1;HOS4;SSM4;YIL029W-A;DAL81;NRE1;PAU2;YEL023C;RAD51;UBP3;YER188W;SPT16;MDS3;YGL188C-A;MND1;SLD3;ALG2;GEP7;YGR054W;UPF3;TEL2;UBR1;TFG1;RIE1;SLH1;STE20;RPF1;MRPL6;SPO16;YHR217C;GWT1;SCP160;PRY3;KAR2;YJL027C;YJL007C;TMA22;RFC2;RSM26;IML1;YKL225W;YKL222C;ABF1;LAS1;NFT1;SOF1;IES3;CHA4;NHA1;IRC20;YLR345W;LUG1;ROM2;RRN11;FMS1;NAM7;EPO1;RRP5;SCS7;DIA1;MSB3;MPA43;ATG2;SQS1;PEX17;TOM22;YNL097W-A;YNL067W-B;YNR021W;HAL9;MET22;EFT1;NOC2;YOR296W;YOR309C;NOP58;CDS_XV_970164_971457;TYE7;HSP82;FAS2;BMS1;NAB3;TCO89;NAN1;MET31;SRL4;CHL1
P1C07	NUP170;ADE6;HSP104;RPO21;KSP1;PTR2;DOP1;SLY1;YIL055C;MYO1;ENV11;MYO5;ADE4;HHF2;PSP2;PEX9;ESL1;VID28;VIP1;UTP20;RIE1;NAM7;RRP5;PSK1;PIM1;RKM3;TAT1;MMS4;VBA4;YDR249C;MRPL28;JIP4;MRS1;YEL025C;GET2;SHC1;MAM1;TOG1;TAD1;ITC1;CUE3;VPS45;PAN2;GSC2;MDR1;YHL044W;DYS1;KRE9;IML2;GRR1;LOS1;TPO5;SFK1;PRP16;YLR361C-A;YLR466C-B;PSO2;PAH1;YMR317W;RPA49;SIN4;YNL235C;SRP1;ALR1;WHI2;PFY1;SCD5;OYE3;GDE1;SUR1
