seqname	start	end	strand	name	display_name	note
chrI	333	647	+	YAL069W	>YAL069W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	536	790	+	YAL068W-A	>YAL068W-A>	Dubious open reading frame unlikely to encode a protein%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching
chrI	1805	2167	-	PAU8	<PAU8<	Protein of unknown function%2C member of the seripauperin multigene family encoded mainly in subtelomeric regions
chrI	2478	2705	+	YAL067W-A	>YAL067W-A>	Putative protein of unknown function%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching
chrI	7233	9014	-	SEO1	<SEO1<	Putative permease%2C member of the allantoate transporter subfamily of the major facilitator superfamily%3B mutation confers resistance to ethionine sulfoxide
chrI	10089	10397	+	YAL066W	>YAL066W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	11563	11949	-	YAL065C	<YAL065C<	Putative protein of unknown function%3B has homology to FLO1%3B possible pseudogene
chrI	12044	12424	+	YAL064W-B	>YAL064W-B>	Fungal-specific protein of unknown function
chrI	13361	13741	-	YAL064C-A	<YAL064C-A<	Putative protein of unknown function%3B YAL064C-A is not an essential gene
chrI	21538	21822	+	YAL064W	>YAL064W>	Protein of unknown function%3B may interact with ribosomes%2C based on co-purification experiments
chrI	22367	22657	-	YAL063C-A	<YAL063C-A<	Putative protein of unknown function%3B identified by expression profiling and mass spectrometry
chrI	23972	27940	-	FLO9	<FLO9<	Lectin-like protein with similarity to Flo1p%2C thought to be expressed and involved in flocculation
chrI	31539	32912	+	GDH3	>GDH3>	NADP(%2B)-dependent glutamate dehydrogenase%2C synthesizes glutamate from ammonia and alpha-ketoglutarate%3B rate of alpha-ketoglutarate utilization differs from Gdh1p%3B expression regulated by nitrogen and carbon sources
chrI	33420	34673	+	BDH2	>BDH2>	Putative medium-chain alcohol dehydrogenase with similarity to BDH1%3B transcription induced by constitutively active PDR1 and PDR3
chrI	35127	36275	+	BDH1	>BDH1>	NAD-dependent (R%2CR)-butanediol dehydrogenase%2C catalyzes oxidation of (R%2CR)-2%2C3-butanediol to (3R)-acetoin%2C oxidation of meso-butanediol to (3S)-acetoin%2C and reduction of acetoin%3B enhances use of 2%2C3-butanediol as an aerobic carbon source
chrI	36468	36890	-	YAL059C-A	<YAL059C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps verified gene ECM1%2FYAL059W
chrI	36481	37119	+	ECM1	>ECM1>	Pre-ribosomal factor involved in 60S ribosomal protein subunit export%3B associates with the pre-60S particle%3B shuttles between the nucleus and cytoplasm
chrI	37436	38944	+	CNE1	>CNE1>	Calnexin%3B integral membrane ER chaperone involved in folding and quality control of glycoproteins%3B chaperone activity is inhibited by Mpd1p%2C with which Cne1p interacts%3B 24%25 identical to mammalian calnexin%3B Ca%2B binding not yet shown in yeast
chrI	38668	39018	-	YAL056C-A	<YAL056C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	39231	41873	+	GPB2	>GPB2>	Multistep regulator of cAMP-PKA signaling%3B inhibits PKA downstream of Gpa2p and Cyr1p%2C thereby increasing cAMP dependency%3B inhibits Ras activity through direct interactions with Ira1p%2F2p%3B regulated by G-alpha protein Gpa2p%3B homolog of Gpb1p
chrI	42149	42691	+	PEX22	>PEX22>	Putative peroxisomal membrane protein required for import of peroxisomal proteins%2C functionally complements a Pichia pastoris pex22 mutation
chrI	42853	44994	-	ACS1	<ACS1<	Acetyl-coA synthetase isoform which%2C along with Acs2p%2C is the nuclear source of acetyl-coA for histone acetlyation%3B expressed during growth on nonfermentable carbon sources and under aerobic conditions
chrI	45871	48222	+	FLC2	>FLC2>	Putative FAD transporter%3B required for uptake of FAD into endoplasmic reticulum%3B involved in cell wall maintenance
chrI	48536	51679	+	OAF1	>OAF1>	Oleate-activated transcription factor%2C acts alone and as a heterodimer with Pip2p%3B activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis
chrI	51827	52567	-	AIM2	<AIM2<	Cytoplasmic protein involved in mitochondrial function or organization%3B null mutant displays reduced frequency of mitochondrial genome loss%3B potential Hsp82p interactor
chrI	52773	54761	-	GEM1	<GEM1<	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology%3B cells lacking Gem1p contain collapsed%2C globular%2C or grape-like mitochondria%3B not required for pheromone-induced cell death
chrI	54556	54885	+	YAL047W-A	>YAL047W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	54961	56829	-	SPC72	<SPC72<	Component of the cytoplasmic Tub4p (gamma-tubulin) complex%2C binds spindle pole bodies and links them to microtubules%3B has roles in astral microtubule formation and stabilization
chrI	57001	57357	-	AIM1	<AIM1<	Protein involved in mitochondrial function or organization%3B null mutant displays elevated frequency of mitochondrial genome loss
chrI	57460	57768	-	YAL045C	<YAL045C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B almost completely overlaps YAL044W-A
chrI	57490	57822	+	YAL044W-A	>YAL044W-A>	Putative protein of unknown function%3B similar to S. pombe uvi31 which is a putative DNA repair protein
chrI	57922	58434	-	GCV3	<GCV3<	H subunit of the mitochondrial glycine decarboxylase complex%2C required for the catabolism of glycine to 5%2C10-methylene-THF%3B also required for all protein lipoylation%3B expression is regulated by levels of 5%2C10-methylene-THF
chrI	58667	61024	-	PTA1	<PTA1<	Subunit of holo-CPF%2C a multiprotein complex and functional homolog of mammalian CPSF%2C required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends%3B involved in pre-tRNA processing%3B binds to the phosphorylated CTD of RNAPII
chrI	61203	61580	-	YAL042C-A	<YAL042C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps verified ORF ERV46%2FYAL042W%3B YAL042C-A is a non-essential gene
